metric,n,mean,std,min,max,p50,p90,p95,p99
api_us,3000.0,4913.487666666667,1909.3353781818114,3004.0,15595.0,4506.5,7647.199999999998,9299.249999999993,11564.02
settle_after_call_us,3000.0,20721.421666666665,1494.1707945607584,19871.0,29414.0,20146.5,21652.1,22831.149999999998,27705.03
settle_total_us,3000.0,25636.098666666665,2706.6063632527153,23197.0,38558.0,24838.5,29159.999999999996,31929.34999999998,36664.24999999999
polls,3000.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
gpu_util_pct,3000.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
mem_util_pct,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pcie_tx_kbps,3000.0,72.43055676666667,116.62873262276852,0.0,1800.0,50.0,100.0,150.0,700.2499999999941
pcie_rx_kbps,3000.0,217.3250031,642.2952056563665,0.0,11950.0,50.0,534.9996999999985,1250.0,3001.4999999999645
power_mw,3000.0,71661.89633333334,38497.76986230558,28351.0,159894.0,62116.0,122448.49999999684,154670.0,155642.81999999992
