,settle_after_call_us,api_us,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw
settle_after_call_us,1.0,-0.2895252284413715,,,0.11971764095680287,0.2554673620575565,-0.6294776632971152
api_us,-0.2895252284413715,1.0,,,-0.10690494931338845,-0.203235274530607,0.665756976518525
gpu_util_pct,,,,,,,
mem_util_pct,,,,,,,
pcie_tx_kbps,0.11971764095680287,-0.10690494931338845,,,1.0,0.0663421501928376,-0.15858115425640254
pcie_rx_kbps,0.2554673620575565,-0.203235274530607,,,0.0663421501928376,1.0,-0.2869622911766062
power_mw,-0.6294776632971152,0.665756976518525,,,-0.15858115425640254,-0.2869622911766062,1.0
