metric,n,mean,std,min,max,p50,p90,p95,p99
api_us,3000.0,5571.345666666667,1808.43713183543,3175.0,13317.0,5196.0,8062.2,8877.999999999995,11077.739999999983
settle_after_call_us,3000.0,20152.604,375.52661947099097,19876.0,24864.0,20058.0,20363.3,20653.05,21865.05
settle_total_us,3000.0,25725.048333333332,1890.2596281510716,23208.0,34465.0,25218.5,28225.4,29165.24999999999,32181.79999999998
polls,3000.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
gpu_util_pct,3000.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
mem_util_pct,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pcie_tx_kbps,3000.0,244624.814,10280.676670385288,195225.0,256617.0,236850.0,256050.0,256050.0,256100.0
pcie_rx_kbps,3000.0,214282.193,9040.833887472878,196075.0,226567.0,209191.5,224100.0,224100.0,224517.0
power_mw,3000.0,30725.540333333334,7196.89172572974,23484.0,47789.0,28360.5,40272.99999999934,47302.0,47302.0
