,settle_after_call_us,api_us,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw
settle_after_call_us,1.0,-0.09220229120441123,,,-0.00786884078891436,0.031085901487943077,-0.35633531946120994
api_us,-0.09220229120441123,1.0,,,-0.015819367716978075,0.0232378303159356,0.2122313013222603
gpu_util_pct,,,,,,,
mem_util_pct,,,,,,,
pcie_tx_kbps,-0.00786884078891436,-0.015819367716978075,,,1.0,0.07612117175881035,0.01916657020531287
pcie_rx_kbps,0.031085901487943077,0.0232378303159356,,,0.07612117175881035,1.0,-0.004088007379888998
power_mw,-0.35633531946120994,0.2122313013222603,,,0.01916657020531287,-0.004088007379888998,1.0
