,settle_after_call_us,api_us,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw
settle_after_call_us,1.0,-0.2990649376980941,,,0.17362895681243593,0.21058030197660235,-0.5971017111903496
api_us,-0.2990649376980941,1.0,,,-0.18454351393088358,-0.23150841404426215,0.6860805441072599
gpu_util_pct,,,,,,,
mem_util_pct,,,,,,,
pcie_tx_kbps,0.17362895681243593,-0.18454351393088358,,,1.0,0.09063048667392243,-0.20369354018181204
pcie_rx_kbps,0.21058030197660235,-0.23150841404426215,,,0.09063048667392243,1.0,-0.26563054864077357
power_mw,-0.5971017111903496,0.6860805441072599,,,-0.20369354018181204,-0.26563054864077357,1.0
