metric,n,mean,std,min,max,p50,p90,p95,p99
api_us,3000.0,4853.083333333333,1847.9214065801575,2973.0,15009.0,4429.0,7456.999999999999,9304.349999999999,11234.029999999999
settle_after_call_us,3000.0,20624.958,1387.6402708950916,19875.0,47863.0,20115.0,21584.0,22617.649999999998,26670.159999999996
settle_total_us,3000.0,25479.197333333334,2594.8909951707983,23216.0,54695.0,24744.0,28285.1,31439.749999999996,36076.14
polls,3000.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
gpu_util_pct,3000.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
mem_util_pct,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pcie_tx_kbps,3000.0,70.2166679,112.92360470658747,0.0,1750.0,50.0,100.0,150.0,800.0
pcie_rx_kbps,3000.0,200.94722480000001,553.7065621074385,0.0,12350.0,50.0,650.0,1250.0,2500.0
power_mw,3000.0,65365.58233333333,33709.861476529535,27378.0,141105.0,56524.0,108988.39999999768,138289.0,139167.91999999998
