metric,n,mean,std,min,max,p50,p90,p95,p99
api_us,3950.0,4857.583037974684,1654.1363199168177,3337.0,14174.0,4073.5,6570.699999999999,8371.849999999999,11296.059999999998
settle_after_call_us,3950.0,20377.164810126582,360.53672733447604,20015.0,25173.0,20295.0,20590.1,20832.0,22053.82999999999
settle_total_us,3950.0,25235.86405063291,1746.8974135044336,23521.0,35222.0,24488.5,27209.4,29031.85,32056.57
polls,3950.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
gpu_util_pct,3950.0,99.11523156962026,0.2969609496293714,99.0,100.0,99.0,99.6667,100.0,100.0
mem_util_pct,3950.0,3.0400844607594935,0.15500107962374998,3.0,4.0,3.0,3.0,3.5,3.66667
pcie_tx_kbps,3950.0,7726892.655696202,35540.831804542235,7685450.0,7953700.0,7718075.0,7780485.0,7796601.0,7810620.0
pcie_rx_kbps,3950.0,6770232.2734177215,35578.666521770974,6721250.0,6945270.0,6766780.0,6820621.0,6829891.0,6842313.8
power_mw,3950.0,30759.98835443038,6875.677286475122,24944.0,49734.0,27883.0,40519.0,48762.0,49248.0
