ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
12735655812,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3385,24423,21037,10,10,2000,15000,412,100,0,83.3333,66.6667,32732,418657406,ok(locked)
12735976711,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3343,24116,20772,10,10,2000,15000,412,100,0,50,50,32732,418666777,ok(locked)
12736238208,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7900,35241,27340,10,10,2000,15000,412,100,0,50,50,32732,418674467,ok(locked)
12736542004,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7833,35468,27634,10,10,2000,15000,412,100,0,75,75,32732,418683375,ok(locked)
12736826554,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9505,36791,27285,10,10,2000,15000,412,100,0,150,50,32732,418691730,ok(locked)
12737281386,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3362,23764,20401,10,10,2000,15000,412,100,0,25,50,32732,418704935,ok(locked)
12737610974,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7156,32871,25714,10,10,2000,15000,412,100,0,50,66.6667,32732,418714583,ok(locked)
12737904781,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3477,24039,20561,10,10,2000,15000,412,100,0,75,50,32245,418723152,ok(locked)
12738156528,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3205,24113,20907,10,10,2000,15000,412,100,0,50,50,32732,418730481,ok(locked)
12738497332,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3441,24558,21116,10,10,2000,15000,412,100,0,50,50,32732,418740392,ok(locked)
12738779210,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7953,35411,27457,10,10,2000,15000,412,100,0,50,75,32732,418748632,ok(locked)
12739082935,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9084,36394,27309,10,10,2000,15000,412,100,0,50,50,32732,418757487,ok(locked)
12739447416,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8495,36354,27858,10,10,2000,15000,412,100,0,50,75,32732,418768069,ok(locked)
12739720751,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3158,23646,20487,10,10,2000,15000,412,100,0,50,75,32245,418776003,ok(locked)
12739992190,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3271,23623,20351,10,10,2000,15000,412,100,0,75,50,32245,418783858,ok(locked)
12740251188,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7532,33370,25837,10,10,2000,15000,412,100,0,50,50,32732,418791388,ok(locked)
12740525262,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3176,23629,20452,10,10,2000,15000,412,100,0,50,100,32245,418799332,ok(locked)
12740938074,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7025,33894,26868,10,10,2000,15000,412,100,0,66.6667,483.333,32732,418811212,ok(locked)
12741201780,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9497,36877,27379,10,10,2000,15000,412,100,0,50,50,32732,418818874,ok(locked)
12741454576,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3224,23537,20312,10,10,2000,15000,412,100,0,50,75,32245,418826211,ok(locked)
12741787083,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7584,34574,26989,10,10,2000,15000,412,100,0,50,483.333,32732,418835810,ok(locked)
12742051078,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9681,37095,27413,10,10,2000,15000,412,100,0,50,75,32732,418843481,ok(locked)
12742316364,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,10170,37851,27679,10,10,2000,15000,412,100,0,50,75,32732,418851192,ok(locked)
12742580995,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9692,37398,27705,10,10,2000,15000,412,100,0,50,75,32732,418858885,ok(locked)
12743062072,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3284,24517,21232,10,10,2000,15000,412,100,0,50,466.667,32245,418872676,ok(locked)
12743442586,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3215,24664,21448,10,10,2000,15000,412,100,0,50,66.6667,32245,418883595,ok(locked)
12743716660,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3244,23988,20744,10,10,2000,15000,412,100,0,50,75,32245,418891522,ok(locked)
12743968175,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3217,24083,20865,10,10,2000,15000,412,100,0,125,50,32245,418898783,ok(locked)
12744469359,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3217,23989,20771,10,10,2000,15000,412,100,0,50,66.6667,32245,418913138,ok(locked)
12744890621,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3299,24327,21027,10,10,2000,15000,412,100,0,83.3333,83.3333,32245,418925226,ok(locked)
12745251970,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,6985,34616,27629,10,10,2000,15000,412,100,0,75,100,32732,418935646,ok(locked)
12745515924,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8447,36307,27859,10,10,2000,15000,412,100,0,100,50,32732,418943300,ok(locked)
12745779629,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8585,36457,27870,10,10,2000,15000,412,100,0,50,75,32732,418950942,ok(locked)
12746124325,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9706,37019,27312,10,10,2000,15000,412,100,0,50,75,32732,418960884,ok(locked)
12746445489,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3311,23528,20216,10,10,2000,15000,412,100,0,50,50,32245,418970116,ok(locked)
12746766253,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3224,23356,20131,10,10,2000,15000,412,100,0,50,50,32245,418979332,ok(locked)
12747127425,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3275,23523,20247,10,10,2000,15000,412,100,0,66.6667,483.333,32245,418989698,ok(locked)
12747449953,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3289,24892,21602,10,10,2000,15000,412,100,0,66.6667,50,32245,418998971,ok(locked)
12747791113,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3372,24376,21003,10,10,2000,15000,412,100,0,66.6667,83.3333,32245,419008770,ok(locked)
12748152436,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3180,24195,21014,10,10,2000,15000,412,100,0,50,550,32245,419019141,ok(locked)
12748434014,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7393,35038,27644,10,10,2000,15000,412,100,0,50,50,32732,419027289,ok(locked)
12748775105,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3130,23285,20154,10,10,2000,15000,412,100,0,66.6667,66.6667,32245,419037084,ok(locked)
12749059441,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9523,36896,27372,10,10,2000,15000,412,100,0,75,75,32732,419045314,ok(locked)
12749390160,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7086,33845,26758,10,10,2000,15000,412,100,0,666.667,1250,33219,419054947,ok(locked)
12749675732,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9288,38213,28923,10,10,2000,15000,412,100,0,50,50,33219,419063357,ok(locked)
12749957583,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8254,35616,27360,10,10,2000,15000,412,100,0,50,50,33219,419071651,ok(locked)
12750318353,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3267,24898,21630,10,10,2000,15000,412,100,0,50,66.6667,32732,419082184,ok(locked)
12750571726,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3277,24482,21204,10,10,2000,15000,412,100,0,75,2875,32732,419089632,ok(locked)
