ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
11491013251,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3287,23581,20293,10,10,2000,8000,412,100,0,66.6667,33.3333,31758,329997859,ok(locked)
11491326696,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3245,24432,21186,10,10,2000,8000,412,100,0,50,75,31758,330006733,ok(locked)
11491659952,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8008,35335,27325,10,10,2000,8000,412,100,0,66.6667,100,32245,330016180,ok(locked)
11491912992,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3803,24030,20226,10,10,2000,8000,412,100,0,50,75,31758,330023365,ok(locked)
11492245397,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3304,24970,21665,10,10,2000,8000,412,100,0,50,50,31758,330032751,ok(locked)
11492566968,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3186,24629,21442,10,10,2000,8000,412,100,0,66.6667,100,31758,330041835,ok(locked)
11492887824,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3339,23889,20549,10,10,2000,8000,412,100,0,50,50,31758,330050894,ok(locked)
11493329961,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3735,24105,20369,10,10,2000,8000,412,100,0,50,83.3333,31758,330063335,ok(locked)
11493691985,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3270,23496,20225,10,10,2000,8000,412,100,0,83.3333,100,31758,330073545,ok(locked)
11493949985,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3596,32253,28656,10,10,2000,8000,412,100,0,75,50,32245,330080887,ok(locked)
11494259800,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3303,24035,20731,10,10,2000,8000,412,100,0,50,50,31758,330089645,ok(locked)
11494540330,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3352,23631,20278,10,10,2000,8000,412,100,0,75,50,31758,330097592,ok(locked)
11494818770,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3465,32205,28739,10,10,2000,8000,412,100,0,50,50,32245,330105505,ok(locked)
11495087855,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3299,23589,20288,10,10,2000,8000,412,100,0,50,50,31758,330113126,ok(locked)
11495348851,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3405,25419,22013,10,10,2000,8000,412,100,0,100,50,31758,330120527,ok(locked)
11495651583,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8615,35975,27359,10,10,2000,8000,412,100,0,150,75,32245,330129123,ok(locked)
11495976677,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,6660,29561,22900,10,10,2000,8000,412,100,0,50,50,31758,330138325,ok(locked)
11496230177,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3207,24011,20803,10,10,2000,8000,412,100,0,50,50,31758,330145479,ok(locked)
11496500951,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3206,24242,21035,10,10,2000,8000,412,100,0,100,50,31758,330153190,ok(locked)
11496824639,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9591,37345,27753,10,10,2000,8000,412,100,0,100,100,32245,330162369,ok(locked)
11497146343,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3494,23828,20333,10,10,2000,8000,412,100,0,50,50,31758,330171464,ok(locked)
11497489702,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3303,25048,21744,10,10,2000,8000,412,100,0,66.6667,50,31758,330181155,ok(locked)
11497832878,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7048,35743,28694,10,10,2000,8000,412,100,0,75,725,32245,330190881,ok(locked)
11498096796,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9339,36499,27159,10,10,2000,8000,412,100,0,50,50,32245,330198397,ok(locked)
11498440890,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,6606,28128,21521,10,10,2000,8000,412,100,0,50,83.3333,31758,330208123,ok(locked)
11498764877,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3301,25494,22192,10,10,2000,8000,412,100,0,116.667,100,31758,330217277,ok(locked)
