ts_us,device_id,gpu_name,mode,from_gpu_mhz,from_mem_mhz,to_gpu_mhz,to_mem_mhz,order,api_mem_us,api_gpu_us,api_total_us,settle_total_us,settle_after_calls_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,final_mem_mhz,power_mw,energy_mj,status
3790060342,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790062931,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790063485,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790063946,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790064441,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790064934,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790065407,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790067263,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790067767,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790068241,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790068760,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790069214,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790069688,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790070178,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790070633,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
3790071131,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86511970,Not Supported
