type,workload,n_total,reached_target_rate,stable_rate,timeout_rate,api_us_p50,api_us_p90,api_us_p95,api_us_p99,api_us_mean,api_us_max,api_us_n,settle_total_us_p50,settle_total_us_p90,settle_total_us_p95,settle_total_us_p99,settle_total_us_mean,settle_total_us_max,settle_total_us_n,settle_after_call_us_p50,settle_after_call_us_p90,settle_after_call_us_p95,settle_after_call_us_p99,settle_after_call_us_mean,settle_after_call_us_max,settle_after_call_us_n,energy_mj_best_p50,energy_mj_best_p90,energy_mj_best_p95,energy_mj_best_p99,energy_mj_best_mean,energy_mj_best_max,energy_mj_best_n,power_mw_p50,power_mw_p90,power_mw_p95,power_mw_p99,power_mw_mean,power_mw_max,power_mw_n
comm,high,3000,1.0,1.0,0.0,4594.5,7296.499999999996,9835.05,11818.109999999997,5173.9203333333335,14365.0,3000,25289.0,28511.2,30783.0,32745.54999999999,25940.343333333334,35467.0,3000,20654.0,21052.1,21423.05,22586.159999999996,20765.330333333335,25731.0,3000,9459.0,13438.200000000004,16556.0,17041.02,10361.078359453151,18126.0,2999,29821.0,42219.89999999934,49248.0,49248.0,32417.684666666668,49734.0,3000
comm,low,3000,1.0,1.0,0.0,5196.0,8062.2,8877.999999999995,11077.739999999983,5571.345666666667,13317.0,3000,25218.5,28225.4,29165.24999999999,32181.79999999998,25725.048333333332,34465.0,3000,20058.0,20363.3,20653.05,21865.05,20152.604,24864.0,3000,8966.0,12861.40000000002,15832.0,16165.08,9969.669223074357,17122.0,2999,28360.5,40272.99999999934,47302.0,47302.0,30725.540333333334,47789.0,3000
comm,mid,3950,1.0,1.0,0.0,4073.5,6570.699999999999,8371.849999999999,11296.059999999998,4857.583037974684,14174.0,3950,24488.5,27209.4,29031.85,32056.57,25235.86405063291,35222.0,3950,20295.0,20590.1,20832.0,22053.82999999999,20377.164810126582,25173.0,3950,9149.0,12889.0,16433.2,16964.8,11748.65054444163,7733953.0,3949,27883.0,40519.0,48762.0,49248.0,30759.98835443038,49734.0,3950
compute,high,3000,1.0,1.0,0.0,4506.5,7647.199999999998,9299.249999999993,11564.02,4913.487666666667,15595.0,3000,24838.5,29159.999999999996,31929.34999999998,36664.24999999999,25636.098666666665,38558.0,3000,20146.5,21652.1,22831.149999999998,27705.03,20721.421666666665,29414.0,3000,23380.0,52714.600000000006,62946.399999999994,88524.73999999999,28312.83461153718,121369.0,2999,62116.0,122448.49999999684,154670.0,155642.81999999992,71661.89633333334,159894.0,3000
compute,low,3000,1.0,1.0,0.0,4429.0,7456.999999999999,9304.349999999999,11234.029999999999,4853.083333333333,15009.0,3000,24744.0,28285.1,31439.749999999996,36076.14,25479.197333333334,54695.0,3000,20115.0,21584.0,22617.649999999998,26670.159999999996,20624.958,47863.0,3000,21072.0,48465.400000000016,56643.399999999994,75437.43999999996,25403.728909636546,99367.0,2999,56524.0,108988.39999999768,138289.0,139167.91999999998,65365.58233333333,141105.0,3000
compute,mid,3000,1.0,1.0,0.0,4454.0,7607.499999999998,9232.099999999999,11260.199999999995,4886.807,15888.0,3000,24825.5,28827.399999999998,31922.449999999997,36867.779999999984,25634.608666666667,45428.0,3000,20139.0,21627.2,23168.399999999998,27891.01,20746.645333333334,36540.0,3000,23463.0,52711.80000000002,61985.09999999999,87275.08,28186.610203401135,120373.0,2999,61386.5,118772.8999999993,153217.0,154186.0,71032.85266666667,156608.0,3000
