type,workload,file,ts_us,device_id,from_gpu_mhz,to_gpu_mhz,final_gpu_mhz,api_us,settle_after_call_us,settle_total_us,polls,stable_n,power_mw,energy_mj_best,status
compute,high,dvfs_compute_high.csv,12813533228,0,135,412,412,9972,27121,37094,10,10,32245,8663.0,ok(locked)
compute,mid,dvfs_compute_mid.csv,11539630422,0,135,412,412,9411,27664,37076,10,10,31758,12523.0,ok(locked)
compute,high,dvfs_compute_high.csv,12724608954,0,135,412,412,9767,27294,37062,10,10,33219,7887.0,ok(locked)
compute,mid,dvfs_compute_mid.csv,11573724946,0,135,412,412,9941,27095,37037,10,10,32245,11403.0,ok(locked)
compute,high,dvfs_compute_high.csv,12751189019,0,135,412,412,10287,26731,37019,10,10,33219,7782.0,ok(locked)
compute,high,dvfs_compute_high.csv,12746124325,0,135,412,412,9706,27312,37019,10,10,32732,9942.0,ok(locked)
compute,mid,dvfs_compute_mid.csv,11560705351,0,135,412,412,10035,26975,37011,10,10,31758,9769.0,ok(locked)
compute,mid,dvfs_compute_mid.csv,11549562138,0,135,412,412,9453,27518,36972,10,10,31758,9442.0,ok(locked)
compute,high,dvfs_compute_high.csv,12802289136,0,135,412,412,9792,27178,36971,10,10,32732,13288.0,ok(locked)
compute,mid,dvfs_compute_mid.csv,11482280744,0,135,412,412,9681,27286,36968,10,10,32245,13596.0,ok(locked)
compute,high,dvfs_compute_high.csv,12805438071,0,135,412,412,14916,22048,36965,10,10,32732,8769.0,ok(locked)
compute,high,dvfs_compute_high.csv,12761917945,0,135,412,412,10691,26272,36965,10,10,33219,14482.0,ok(locked)
compute,low,dvfs_compute_low.csv,9500441387,0,135,412,412,8811,28134,36946,10,10,31272,8051.0,ok(locked)
compute,mid,dvfs_compute_mid.csv,11507715992,0,135,412,412,9434,27510,36945,10,10,32245,8651.0,ok(locked)
compute,high,dvfs_compute_high.csv,12806291246,0,135,412,412,9296,27607,36904,10,10,32732,8766.0,ok(locked)
compute,high,dvfs_compute_high.csv,12749059441,0,135,412,412,9523,27372,36896,10,10,32732,8230.0,ok(locked)
compute,low,dvfs_compute_low.csv,9514448788,0,135,412,412,10727,26166,36894,10,10,31272,7351.0,ok(locked)
compute,high,dvfs_compute_high.csv,12741201780,0,135,412,412,9497,27379,36877,10,10,32732,7662.0,ok(locked)
compute,high,dvfs_compute_high.csv,12759652292,0,135,412,412,9007,27815,36823,10,10,32732,15608.0,ok(locked)
compute,high,dvfs_compute_high.csv,12793734769,0,135,412,412,9942,26856,36798,10,10,32732,8212.0,ok(locked)
compute,high,dvfs_compute_high.csv,12736826554,0,135,412,412,9505,27285,36791,10,10,32732,8355.0,ok(locked)
compute,low,dvfs_compute_low.csv,9583261467,0,135,412,412,10268,26516,36785,10,10,30785,9369.0,ok(locked)
compute,high,dvfs_compute_high.csv,12729555652,0,135,412,412,8873,27892,36766,10,10,33219,10676.0,ok(locked)
compute,high,dvfs_compute_high.csv,12757143787,0,135,412,412,9023,27694,36718,10,10,33219,7752.0,ok(locked)
compute,high,dvfs_compute_high.csv,12945569986,0,412,135,135,7525,29163,36689,10,10,28351,12967.0,ok(locked)
compute,low,dvfs_compute_low.csv,9532530617,0,135,412,412,10120,26559,36681,10,10,31272,9446.0,ok(locked)
compute,low,dvfs_compute_low.csv,9510007651,0,135,412,412,10688,25892,36581,10,10,31272,7332.0,ok(locked)
compute,low,dvfs_compute_low.csv,9545049104,0,135,412,412,10365,26212,36578,10,10,30785,7892.0,ok(locked)
compute,low,dvfs_compute_low.csv,9588968353,0,135,412,412,15009,21403,36413,10,10,30785,8358.0,ok(locked)
compute,low,dvfs_compute_low.csv,9542052182,0,135,412,412,10381,25911,36293,10,10,30785,12813.0,ok(locked)
compute,low,dvfs_compute_low.csv,9504378682,0,135,412,412,10053,26214,36268,10,10,31272,7878.0,ok(locked)
compute,low,dvfs_compute_low.csv,9528022206,0,135,412,412,9842,26411,36254,10,10,31272,12814.0,ok(locked)
compute,low,dvfs_compute_low.csv,9570631355,0,135,412,412,10230,26023,36254,10,10,30785,7349.0,ok(locked)
compute,low,dvfs_compute_low.csv,9500704032,0,135,412,412,10308,25934,36243,10,10,31272,7429.0,ok(locked)
compute,low,dvfs_compute_low.csv,9510936799,0,135,412,412,9750,26481,36232,10,10,31272,8856.0,ok(locked)
compute,low,dvfs_compute_low.csv,9536844065,0,135,412,412,9480,26749,36231,10,10,31272,9507.0,ok(locked)
compute,low,dvfs_compute_low.csv,9513578858,0,135,412,412,10110,26109,36220,10,10,31272,7321.0,ok(locked)
compute,low,dvfs_compute_low.csv,9521947355,0,135,412,412,8985,27234,36220,10,10,31272,7332.0,ok(locked)
compute,low,dvfs_compute_low.csv,9565957121,0,135,412,412,9780,26427,36207,10,10,30785,9419.0,ok(locked)
compute,low,dvfs_compute_low.csv,9540135374,0,135,412,412,9677,26513,36191,10,10,30785,9523.0,ok(locked)
compute,low,dvfs_compute_low.csv,9593730771,0,135,412,412,9760,26395,36156,10,10,30785,8889.0,ok(locked)
compute,low,dvfs_compute_low.csv,9553349036,0,135,412,412,10253,25879,36133,10,10,30785,8417.0,ok(locked)
compute,low,dvfs_compute_low.csv,9515899710,0,135,412,412,9877,26249,36126,10,10,31272,7327.0,ok(locked)
compute,low,dvfs_compute_low.csv,9508836828,0,135,412,412,9632,26465,36098,10,10,31272,9441.0,ok(locked)
compute,low,dvfs_compute_low.csv,9576100834,0,135,412,412,9523,26566,36090,10,10,30785,7813.0,ok(locked)
comm,high,dvfs_comm_high.csv,17613335374,0,1530,1252,1252,14365,21100,35467,10,10,39546,17093.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16593532878,0,1530,1252,1252,14174,21047,35222,10,10,40033,17114.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16396788672,0,1252,975,975,11243,23612,34856,10,10,31758,12662.0,ok(locked)
