,settle_after_call_us,api_us,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw
settle_after_call_us,1.0,-0.1133846154932236,,,0.000716490490455977,-0.02159854272574044,-0.31868770589546325
api_us,-0.1133846154932236,1.0,,,-0.0007107010034487056,-0.0017175866596091081,0.6080521988410827
gpu_util_pct,,,,,,,
mem_util_pct,,,,,,,
pcie_tx_kbps,0.000716490490455977,-0.0007107010034487056,,,1.0,-0.008479991027264041,-0.020304313798775172
pcie_rx_kbps,-0.02159854272574044,-0.0017175866596091081,,,-0.008479991027264041,1.0,0.0060835591533348965
power_mw,-0.31868770589546325,0.6080521988410827,,,-0.020304313798775172,0.0060835591533348965,1.0
